"Export of 100 tweets for claritin since:2018-03-17 until:2018-03-24 over a period of 1 day"
" "
"-- OVERVIEW DATA --"
"Total tweets",Timeframe,Reach,Impressions,"Total retweets","Total favourites","Total replies"
100,"1 day","2,264,139","4,853,968",13,148,22
" "
"-- SUMMARY DATA --"
"Tweet type",frequency,,Sentiment,frequency,,Language,frequency,,"Top contributors",frequency,,"Top influencers",frequency,,"Top words",frequency,,"Top hashtags",frequency,,"Top mentions",frequency,,"Top domains",frequency,,"Top urls",frequency,,"Top sources",frequency,,"Top profile countries",frequency,,"Top profile locations",frequency,,"Top geo countries",frequency,,"Top geo locations",frequency
"Plain tweets",75,,Great,14,,English,68,,innovuspharma,6,,socialstartnow,1021310,,claritin,51,,#ラクチンボイス,30,,@goppollanalyst,2,,goo.gl,34,,bit.ly/2FUPl6Z,9,,iPhone,43,,,,,"San Diego, CA",8,,"United States",4,,"Phoenix, AZ",1
Retweets,3,,Good,9,,日本語,31,,esunohito,3,,socialstocksnow,982042,,クラリチン♪,29,,#claritin,14,,@chxngona,1,,bit.ly,9,,goo.gl/AsJ6vc,2,,Android,19,,,,,USA,3,,,,,"Mississippi, USA",1
Replies,22,,Neutral,59,,"español, castellano",1,,socialstocksnow,2,,innovuspharma,116891,,fluticare,12,,#flonase,13,,@ihatemorgz,1,,twitter.com,3,,goo.gl/MQVYSA,1,,Web/Desktop,18,,,,,ウコンの羽織になりたい。,3,,,,,"Georgia, USA",1
Mentions,28,,Bad,12,,,,,maminoru18,2,,RandallGoulding,51477,,allergies,11,,#sneezing,12,,@thepussyologist,1,,tmog.uspto.gov,1,,goo.gl/o9PCq3,1,,"Sprout Social",12,,,,,"Los Angeles",2,,,,,"Eugene, OR",1
Pictures,15,,Terrible,6,,,,,MartinRedmonddd,2,,ihateMORGZ,30850,,$innv,11,,#allergyrelief,12,,@lexforchange,1,,,,,goo.gl/hhpvpJ,1,,TweetDeck,2,,,,,"I LOVE広島県!!",2,,,,,,
Videos,4,,,,,,,,socialstartnow,2,,FlutiCareOTC,10688,,take,7,,#respiratory,12,,@zaythesensei,1,,,,,twitter.com/desmulan/statu…,1,,iPad,2,,,,,"Playing in (the Information Highway's Virtual) Traffic",2,,,,,,
Links,47,,,,,,,,__AliyahB,2,,LaetansX,6915,,like,6,,#nose,12,,@xbad2_thebonezx,1,,,,,goo.gl/3SxEgj,1,,Tweetlogix,1,,,,,Brian@socialstartnow.com,2,,,,,,
Verified,1,,,,,,,,loveclaudiab,1,,RitaWirtz,6773,,try,6,,#allegra,12,,@sheriwr33361424,1,,,,,goo.gl/Wf6Bux,1,,"ツイタマ for Android",1,,,,,"sage &amp; wezi",1,,,,,,
Geolocated,0,,,,,,,,SFOGuard,1,,MissAmaLea,3966,,need,6,,#nasal,12,,@ghostie_dragons,1,,,,,goo.gl/hZKRGX,1,,Facebook,1,,,,,NY,1,,,,,,
,,,,,,,,,Iookjb,1,,jasonpwoodbury,3078,,get,6,,#symptoms,12,,@baileyjarrett5,1,,,,,goo.gl/RhRH4i,1,,"please retweet my tweets",1,,,,,諏訪部さんとのシンクロ率高過ぎで驚き,1,,,,,,
,,,,,,,,,tsutu2,1,,TimberlakeLaw,2783,,took,5,,#relief,12,,@tigershah26,1,,,,,goo.gl/2BoNN1,1,,,,,,,,"Houston, TX",1,,,,,,
,,,,,,,,,R214xoxoMellow2,1,,nikkisworldxxx,1893,,buy,5,,#zyrtec,11,,@vimtobaba,1,,,,,goo.gl/anRPqc,1,,,,,,,,まんなかあたり,1,,,,,,
,,,,,,,,,bad_garrett,1,,fantasy_camp,1773,,flonase,4,,#fluticare,11,,@xain_hs,1,,,,,twitter.com/steadycraig/st…,1,,,,,,,,"St. Louis, Mo",1,,,,,,
,,,,,,,,,mican_moon,1,,_JBadge_,1703,,few,4,,#thankmelater,1,,@kevinlferguson,1,,,,,goo.gl/ihrXm1,1,,,,,,,,"chasing destini™",1,,,,,,
,,,,,,,,,nikkisworldxxx,1,,turnotori,1699,,give,4,,#pollen,1,,@vivaladivatracy,1,,,,,goo.gl/rW9mek,1,,,,,,,,"Phoenix, AZ",1,,,,,,
,,,,,,,,,heybaldie,1,,isikdg,1556,,allergy,4,,#fml,1,,@bfolsom18,1,,,,,goo.gl/hLk6ZH,1,,,,,,,,下総の国,1,,,,,,
,,,,,,,,,yukiusapon,1,,sanjuniperos,1545,,save,4,,#whyyyyyme,1,,@lovemeloyalty19,1,,,,,goo.gl/ooG1qV,1,,,,,,,,フォローの前にツイフィール↓ご覧下さい,1,,,,,,
,,,,,,,,,jenjames923,1,,Iookjb,1204,,work,4,,#officiallymyhero,1,,@bennythejet55,1,,,,,goo.gl/a7EbCA,1,,,,,,,,wherethegrassingreener.,1,,,,,,
,,,,,,,,,desmulan,1,,Ishfromda5th,1201,,spring,4,,#goawaypollen,1,,@spidergweb,1,,,,,goo.gl/yaL1gS,1,,,,,,,,"Groznyj Grad",1,,,,,,
,,,,,,,,,baklavamammi,1,,__AliyahB,1011,,morning,3,,#leakyeyes,1,,@derrickjosi,1,,,,,goo.gl/TsvU7b,1,,,,,,,,"Miami, Florida, United States",1,,,,,,
,,,,,,,,,StephenDelear,1,,geekly_sneaks,987,,pill,3,,#stuffednose,1,,@jecashsymbol2x,1,,,,,goo.gl/Bz464m,1,,,,,,,,"PHX, the Grand Canyon State",1,,,,,,
,,,,,,,,,MissAmaLea,1,,_peaceoff30,935,,air,3,,#distinctiveness,1,,@blithevelour,1,,,,,goo.gl/brkGjV,1,,,,,,,,"Las Vegas, NV",1,,,,,,
,,,,,,,,,rei_kamihate,1,,itumogdgd,923,,dying,3,,#trademarks,1,,@simpsonsbracket,1,,,,,goo.gl/TnX1Q1,1,,,,,,,,"tkaronto, turtle island",1,,,,,,
,,,,,,,,,raaelexi,1,,R214xoxoMellow2,798,,taking,3,,#allergies,1,,@steviejukejoint,1,,,,,goo.gl/7P3H46,1,,,,,,,,"a happy house xotwod",1,,,,,,
,,,,,,,,,miiihs_ara113,1,,landraaaa,781,,i’m,3,,,,,@claritin,1,,,,,goo.gl/oYtPMv,1,,,,,,,,"Savage, MN",1,,,,,,
,,,,,,,,,BlkOnBothSides,1,,maminoru18,770,,already,3,,,,,@morningexp,1,,,,,twitter.com/cjacks98/statu…,1,,,,,,,,"North Chicago, IL/ Washington",1,,,,,,
,,,,,,,,,LauraLeaWatson1,1,,7717love,764,,it’s,3,,,,,@bobvandillen,1,,,,,goo.gl/M9zbR6,1,,,,,,,,愛知県,1,,,,,,
,,,,,,,,,GingeraleDragon,1,,esunohito,626,,more,3,,,,,,,,,,,goo.gl/dWKUuK,1,,,,,,,,"Where would u like me to be?",1,,,,,,
,,,,,,,,,realelijahrose,1,,crives1,599,,even,3,,,,,,,,,,,goo.gl/3GS2sG,1,,,,,,,,"Los Angeles, CA",1,,,,,,
,,,,,,,,,jasonpwoodbury,1,,jackoraptor,433,,though,3,,,,,,,,,,,goo.gl/N7Lijz,1,,,,,,,,918,1,,,,,,
,,,,,,,,,_peaceoff30,1,,tsutu2,386,,works,3,,,,,,,,,,,goo.gl/PExYkt,1,,,,,,,,"Indianapolis, IN",1,,,,,,
,,,,,,,,,tigerbano,1,,sakuragishun,381,,after,3,,,,,,,,,,,goo.gl/9sneNp,1,,,,,,,,あんすた沼,1,,,,,,
,,,,,,,,,BellysConsuela,1,,takutakubeee103,355,,any,3,,,,,,,,,,,goo.gl/P6QpGJ,1,,,,,,,,STL,1,,,,,,
,,,,,,,,,lostinjennifer,1,,renta55,341,,sprays,3,,,,,,,,,,,goo.gl/drWhHU,1,,,,,,,,"Univ of Mississippi",1,,,,,,
,,,,,,,,,RandallGoulding,1,,corndoglover100,337,,well,3,,,,,,,,,,,goo.gl/t79jsZ,1,,,,,,,,"running or watching baseball",1,,,,,,
,,,,,,,,,youM68,1,,daicolog,321,,come,3,,,,,,,,,,,goo.gl/8hLYjL,1,,,,,,,,"GODAWGS ❤️",1,,,,,,
,,,,,,,,,CWFrancis72,1,,Mi2c00000,271,,really,3,,,,,,,,,,,tmog.uspto.gov/#issueDate=201…,1,,,,,,,,"Montgomery, AL",1,,,,,,
,,,,,,,,,jackoraptor,1,,miiihs_ara113,271,,want,3,,,,,,,,,,,goo.gl/WjvYkL,1,,,,,,,,マジLOVEキングダム,1,,,,,,
,,,,,,,,,redbarron77,1,,diabolik0128,251,,season,3,,,,,,,,,,,,,,,,,,,,"Wilkes-Barre, PA",1,,,,,,
,,,,,,,,,athenahollow,1,,katybazarsky,230,,seasonal,3,,,,,,,,,,,,,,,,,,,,"Michigan, USA",1,,,,,,
" "
"-- TWEET DATA --"
"Created At","Screen Name",Handle,Tweet,Links,"Tweet Type",Language,Sentiment,Retweets,Favourites,Followers,Friends,Reach,"Retweet Rate (Tweets Per Minute)",Engagements,"Engagement Rate (% of Followers)",Source,Domain,URL,"Tweet Link","Pic Link","Retweeting User","Retweeting Handle","Profile Location","Country (Profile)","Location (Geo)","Country (Geo)","Tweet ID"
"Fri Mar 23 21:16:01 +0000 2018","Social Stocks Now ",socialstocksnow,"$INNV Waking up with stuffy from allergies? A few sprays of FlutiCare bit.ly/2FUPl6Z #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/Ele1CHlEIW","http://bit.ly/2FUPl6Z Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/socialstocksnow/status/977292910361219072/photo/1","Regular Tweet",en,-1,0,0,982042,256957,982042,0,0,0,"Sprout Social","bit.ly ","bit.ly/2FUPl6Z ","https://twitter.com/Social Stocks Now /status/977292910361219072",https://pbs.twimg.com/profile_images/852838946581041153/vv48whQf_normal.jpg,,,,USA,,,977292910361219072
"Fri Mar 23 21:04:04 +0000 2018","Innovus Pharma ",innovuspharma,"$INNV Pet allergies that are worth barking about? Try FlutiCare - The Flonase Alternative. bit.ly/2FUPl6Z #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/B1lqvXkRC0","http://bit.ly/2FUPl6Z Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/innovuspharma/status/977289900490977280/photo/1","Regular Tweet",en,0,0,0,116891,30412,116891,0,0,0,"Sprout Social","bit.ly ","bit.ly/2FUPl6Z ","https://twitter.com/Innovus Pharma /status/977289900490977280",https://pbs.twimg.com/profile_images/968497000764395520/jrxreOdM_normal.jpg,,,,"San Diego, CA",,,977289900490977280
"Fri Mar 23 21:03:02 +0000 2018","Leedy 🤗 ",heybaldie,"Claritin said not to take more than one pill in 24 hours, but idgaf! It’s either take another pill and risk dying or feeling better sooo...I’m taking that damn pill! I’m dying already anyway.",,"Regular Tweet",en,-2,0,0,102,139,102,0,0,0,iPhone,,,"https://twitter.com/Leedy 🤗 /status/977289643329802241",https://pbs.twimg.com/profile_images/964340901886775298/eR7FeEFN_normal.jpg,,,,"Houston, TX",,,977289643329802241
"Fri Mar 23 20:51:00 +0000 2018","雪うさぎ❄️Снег кролик ",yukiusapon,"錠剤がうまく飲めないですって？仕方ありませんね。先生が、飲ませてあげましょうか？新しいクラリチンはすぐ溶けるからすごく飲みやすいんですよ。ほら、あーんして。花粉ラクチン クラリチン♪ goo.gl/RhRH4i #ラクチンボイス","https://goo.gl/RhRH4i Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,2,96,137,96,0,2,2.08,iPhone,"goo.gl ","goo.gl/RhRH4i ","https://twitter.com/雪うさぎ❄️Снег кролик /status/977286612827516928",https://pbs.twimg.com/profile_images/976812753334579202/xVSDOuRH_normal.jpg,,,,まんなかあたり,,,977286612827516928
"Fri Mar 23 20:49:36 +0000 2018","Jennifer James ",jenjames923,"Fighting the beginning of a sinus infection- neti, four thieves oil and Claritin .  I need to be better by Tuesday 🤞@EdensGardenOils",,"Regular Tweet",en,1,0,2,158,1184,158,0,2,1.27,iPhone,,,"https://twitter.com/Jennifer James /status/977286261345079297",https://pbs.twimg.com/profile_images/819315707485757440/cNyhaofu_normal.jpg,,,,"St. Louis, Mo ",,,977286261345079297
"Fri Mar 23 20:47:34 +0000 2018","des. 🌙🔮 ",desmulan,"@ihateMORGZ @ThePussyologist Girl Claritin . Zyrtec is trash. You should have seen me the past couple days. My eyes were raw and my nose from the pollen. Get Claritin . That shit helped me so much",,Reply,en,-1,0,0,2261,1083,1,0,0,0,iPhone,,,"https://twitter.com/des. 🌙🔮 /status/977285749539311618",https://pbs.twimg.com/profile_images/973310206896721922/3j_2sjE1_normal.jpg,,,,"chasing destini™",,,977285749539311618
"Fri Mar 23 20:27:01 +0000 2018","Social Stocks Now ",socialstocksnow,"$INNV Pet allergies that are worth barking about? Try FlutiCare - .bit.ly/2FUPl6Z #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/uE8isnExRk","http://bit.ly/2FUPl6Z Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/socialstocksnow/status/977280579346583554/photo/1","Regular Tweet",en,0,0,0,982042,256957,982042,0,0,0,"Sprout Social","bit.ly ","bit.ly/2FUPl6Z ","https://twitter.com/Social Stocks Now /status/977280579346583554",https://pbs.twimg.com/profile_images/852838946581041153/vv48whQf_normal.jpg,,,,USA,,,977280579346583554
"Fri Mar 23 20:26:40 +0000 2018","2la ",baklavamammi,"I have so much homework and I already ran out of Claritin can anyone spot me",,"Regular Tweet",en,0,0,0,104,366,104,0,0,0,iPhone,,,"https://twitter.com/2la /status/977280490897108993",https://pbs.twimg.com/profile_images/973802866761756672/Pa-BGTMg_normal.jpg,,,,,,,977280490897108993
"Fri Mar 23 20:08:21 +0000 2018","Stephen Delear ",StephenDelear,"@lexforchange Claritin 24 hour (Pseudoephedrine) plus Tylenol cold.",,Reply,en,-1,0,1,1,67,1,0,1,100,Android,,,"https://twitter.com/Stephen Delear /status/977275878819401728",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,,,,977275878819401728
"Fri Mar 23 20:04:48 +0000 2018","Ama Lea ",MissAmaLea,"I took 3 Claritin this morning and let me tell you... that was a party",,"Regular Tweet",en,0,0,3,3966,672,3966,0,3,0.08,iPhone,,,"https://twitter.com/Ama Lea /status/977274987898814464",https://pbs.twimg.com/profile_images/742029183220518913/xVfIgKan_normal.jpg,,,,"Los Angeles",,,977274987898814464
"Fri Mar 23 20:01:50 +0000 2018","玲 ",rei_kamihate,"今日のラクチンボイスgoo.gl/2BoNN1 #ラクチンボイス","https://goo.gl/2BoNN1 Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,45,65,45,0,0,0,Android,"goo.gl ","goo.gl/2BoNN1 ","https://twitter.com/玲 /status/977274238854881280",https://pbs.twimg.com/profile_images/797094069910372352/IEfj70ZV_normal.jpg,,,,下総の国,,,977274238854881280
"Fri Mar 23 19:47:48 +0000 2018","ㅤㅤㅤfax ",raaelexi,"@ZayTheSensei Claritin d my guy works wonders",,Reply,en,2,0,0,539,166,1,0,0,0,iPhone,,,"https://twitter.com/ㅤㅤㅤfax /status/977270709918429184",https://pbs.twimg.com/profile_images/973313152447205376/Qrd8p3zG_normal.jpg,,,,,,,977270709918429184
"Fri Mar 23 19:42:45 +0000 2018","ふみ ",miiihs_ara113,"私に頼りたくない？どうしてそんなことを言うんですか。そんなに辛そうなのに強がって…。辛そうな貴女を見せられる私の身にもなってください。…花粉…ラクチン…くっ…クラリチン…ッ goo.gl/anRPqc #ラクチンボイス","https://goo.gl/anRPqc Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,271,1148,271,0,0,0,"ツイタマ for Android","goo.gl ","goo.gl/anRPqc ","https://twitter.com/ふみ /status/977269436829777920",https://pbs.twimg.com/profile_images/973938878749921280/7Snjx-9N_normal.png,,,,フォローの前にツイフィール↓ご覧下さい,,,977269436829777920
"Fri Mar 23 19:39:29 +0000 2018","IG: nappyfit ",BlkOnBothSides,"@XBad2_TheBonezX Claritin D. #thankmelater","Twitter analytics for #thankmelater",Reply,en,0,0,1,221,274,1,0,1,0.45,iPhone,,,"https://twitter.com/IG: nappyfit /status/977268617577365505",https://pbs.twimg.com/profile_images/866733288706236418/5bHtFBvD_normal.jpg,,,,wherethegrassingreener.,,,977268617577365505
"Fri Mar 23 19:18:03 +0000 2018","Laura Lea Watson ",LauraLeaWatson1,"@Sheriwr33361424 The infection or the window? Dug out my Claritin...",,Reply,en,-1,0,0,1938,2561,1,0,0,0,Android,,,"https://twitter.com/Laura Lea Watson /status/977263222872035330",https://pbs.twimg.com/profile_images/976472247362834433/VNPSL5bW_normal.jpg,,,,,,,977263222872035330
"Fri Mar 23 19:12:35 +0000 2018","The Last Thing You Want in Your Sergal King Sergal ",GingeraleDragon,"@Ghostie_Dragons I've been getting hit hard wit The Springs so bad that I have a box of Claritin in my bag",,Reply,en,-2,0,1,223,192,1,0,1,0.45,Web/Desktop,,,"https://twitter.com/The Last Thing You Want in Your Sergal King Sergal /status/977261845244514304",https://pbs.twimg.com/profile_images/972618588824596480/zMSrHVRE_normal.jpg,,,,"Groznyj Grad",,,977261845244514304
"Fri Mar 23 19:02:22 +0000 2018","Innovus Pharma ",innovuspharma,"$INNV Love your cat but hate the allergies? Let FlutiCare save the day! A few sprays and you're on your way! bit.ly/2FUPl6Z #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/RTmnCMwCTu","http://bit.ly/2FUPl6Z Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/innovuspharma/status/977259274299756544/photo/1","Regular Tweet",en,-1,0,0,116891,30412,116891,0,0,0,"Sprout Social","bit.ly ","bit.ly/2FUPl6Z ","https://twitter.com/Innovus Pharma /status/977259274299756544",https://pbs.twimg.com/profile_images/968497000764395520/jrxreOdM_normal.jpg,,,,"San Diego, CA",,,977259274299756544
"Fri Mar 23 18:44:40 +0000 2018","3l1j@h R0s3 ",realelijahrose,"@baileyjarrett5 Any cold meds work! Just about done with my cold and I started doing Claritin right after DayQuil and even Advil. Good stuff right there👌🏻👌🏻 get well soon though pic.twitter.com/4eeCahiTkh",https://twitter.com/realelijahrose/status/977254820015992834/photo/1,Reply,en,3,0,1,699,1251,1,0,1,0.14,iPhone,,,"https://twitter.com/3l1j@h R0s3 /status/977254820015992834",https://pbs.twimg.com/profile_images/904745918343200768/Jhsux4Ca_normal.jpg,,,,"Miami, Florida, United States ",,,977254820015992834
"Fri Mar 23 18:34:05 +0000 2018","Jason P. Woodbury ",jasonpwoodbury,"Tempe, come hang out with me &amp; Craig tonight. I’ll be the one spaced-out on those good Claritin pills. twitter.com/steadycraig/st…",https://twitter.com/steadycraig/status/977249557347147776,"Regular Tweet",en,-1,0,6,3078,1618,3078,0,6,0.19,iPhone,"twitter.com ","twitter.com/steadycraig/st… ","https://twitter.com/Jason P. Woodbury /status/977252156767006720",https://pbs.twimg.com/profile_images/965693207429328896/CULcGVPs_normal.jpg,,,,"PHX, the Grand Canyon State","Phoenix, AZ","United States",977252156767006720
"Fri Mar 23 18:33:19 +0000 2018","🧚🏼‍♀️ ",_peaceoff30,"Any suggestions on how to relieve allergies naturally? I really don’t want to get an injection every 3 months or take Claritin anymore",,"Regular Tweet",en,-1,0,0,935,856,935,0,0,0,iPhone,,,"https://twitter.com/🧚🏼‍♀️ /status/977251964370141184",https://pbs.twimg.com/profile_images/975244434123063296/ZXXSG6Ue_normal.jpg,,,,"Las Vegas, NV",,,977251964370141184
"Fri Mar 23 18:23:48 +0000 2018","eman c. ",tigerbano,"@Tigershah26 @VimtoBaba @xain_hs I’m all ready tbh #Claritin","Twitter analytics for #Claritin",Reply,en,1,0,0,2467,620,1,0,0,0,iPhone,,,"https://twitter.com/eman c. /status/977249570253090822",https://pbs.twimg.com/profile_images/928815512989110273/LqfaS-6F_normal.jpg,,,,"tkaronto, turtle island",,,977249570253090822
"Fri Mar 23 18:21:02 +0000 2018","midnight zone ",BellysConsuela,"@chxngona go take some Claritin though 💀",,Reply,en,1,0,1,667,395,1,0,1,0.15,iPhone,,,"https://twitter.com/midnight zone /status/977248875277938688",https://pbs.twimg.com/profile_images/977248090322284544/_pJWYxcC_normal.jpg,,,,"a happy house xotwod",,,977248875277938688
"Fri Mar 23 18:05:31 +0000 2018","jennifer marie👑 ",lostinjennifer,"Had to pick up some Claritin... 30$ bottle turned into 14$, Comcast really out here workin’ for ya savings",,"Regular Tweet",en,2,0,0,125,332,125,0,0,0,iPhone,,,"https://twitter.com/jennifer marie👑 /status/977244970628407301",https://pbs.twimg.com/profile_images/921988199160958976/-9jeGPkm_normal.jpg,,,,"Savage, MN",,,977244970628407301
"Fri Mar 23 18:03:04 +0000 2018","Securities Counselor ",RandallGoulding,"Do your kids suffer from allergies? It can be tough when the sniffles come on. Try FlutiCare safe for children and proven to work! goo.gl/ihrXm1 #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/Yv2Q5WIent","https://goo.gl/ihrXm1 Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/RandallGoulding/status/977244350055886848/photo/1","Regular Tweet",en,2,0,0,51477,7617,51477,0,0,0,"Sprout Social","goo.gl ","goo.gl/ihrXm1 ","https://twitter.com/Securities Counselor /status/977244350055886848",https://pbs.twimg.com/profile_images/595415002909138944/LkSBYFXm_normal.png,,,,"North Chicago, IL/ Washington ",,,977244350055886848
"Fri Mar 23 17:52:52 +0000 2018","由宇@Kiramune最高!!!!✨ ",youM68,"大好きです(｡&gt;//&lt;｡)僕、今日、気づいちゃったんだ。あなたと一緒にいられるのは、花粉のおかげなんだって。花粉のことは嫌いでも、僕のことはキライにならないでね。大好きだよ。花粉ラクチン クラリチン♪ goo.gl/rW9mek #ラクチンボイス","https://goo.gl/rW9mek Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,58,181,58,0,0,0,iPhone,"goo.gl ","goo.gl/rW9mek ","https://twitter.com/由宇@Kiramune最高!!!!✨ /status/977241783124967424",https://pbs.twimg.com/profile_images/937312594364268544/LLao-grn_normal.jpg,,,,愛知県,,,977241783124967424
"Fri Mar 23 17:48:11 +0000 2018","Clayton W Francis ",CWFrancis72,"Claritin is life. #pollen","Twitter analytics for #pollen","Regular Tweet",en,0,0,0,147,152,147,0,0,0,Android,,,"https://twitter.com/Clayton W Francis /status/977240606140452865",https://pbs.twimg.com/profile_images/2703459641/affe6e38ccb0e29e36fac7575fdfcde5_normal.png,,,,"Where would u like me to be? ",,,977240606140452865
"Fri Mar 23 17:48:08 +0000 2018","Jackie Nell ",jackoraptor,"Coffee, Claritin, &amp; Cameras: an Autobiography",,"Regular Tweet",en,0,0,1,433,432,433,0,1,0.23,iPhone,,,"https://twitter.com/Jackie Nell /status/977240595293921280",https://pbs.twimg.com/profile_images/933040432795344897/cBtryd0n_normal.jpg,,,,"Los Angeles, CA",,,977240595293921280
"Fri Mar 23 17:47:02 +0000 2018","まみっち＠フェロ☆メンLOVERS🖤♥️&amp;ヤスくんLOVE💕 ",maminoru18,"え、ガチで犬だったの❓(笑)あなたを一生、花粉から守りたいんだ。もしいつか…僕が人間になれたら…僕と結婚してくれる？大好きだよ…。花粉ラクチン クラリチン♪ goo.gl/hLk6ZH #ラクチンボイス","https://goo.gl/hLk6ZH Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,1,770,1726,770,0,1,0.13,Android,"goo.gl ","goo.gl/hLk6ZH ","https://twitter.com/まみっち＠フェロ☆メンLOVERS🖤♥️&amp;ヤスくんLOVE💕 /status/977240318176256000",https://pbs.twimg.com/profile_images/972452849509543938/kUlSsOuM_normal.jpg,,,,"I LOVE広島県!!",,,977240318176256000
"Fri Mar 23 17:45:07 +0000 2018","まみっち＠フェロ☆メンLOVERS🖤♥️&amp;ヤスくんLOVE💕 ",maminoru18,"寝れそう(*´ω｀*)花粉が辛くて眠れないんですか？じゃ、今日は朝までお話でもしますか？むかし、むかし、あるところに…おや、もう眠れたみたいですね。花粉ラクチン クラリチン♪ goo.gl/ooG1qV #ラクチンボイス","https://goo.gl/ooG1qV Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,1,770,1726,770,0,1,0.13,Android,"goo.gl ","goo.gl/ooG1qV ","https://twitter.com/まみっち＠フェロ☆メンLOVERS🖤♥️&amp;ヤスくんLOVE💕 /status/977239836657565696",https://pbs.twimg.com/profile_images/972452849509543938/kUlSsOuM_normal.jpg,,,,"I LOVE広島県!!",,,977239836657565696
"Fri Mar 23 17:37:53 +0000 2018","Jacqueline Nought IRL ",athenahollow,"@VivaLaDivaTracy smashed some claritin in me and hoping it helps -_-",,Reply,en,1,0,1,4140,308,1,0,1,0.02,TweetDeck,,,"https://twitter.com/Jacqueline Nought IRL /status/977238013616017408",https://pbs.twimg.com/profile_images/974857732351315968/Yg2Pe2_e_normal.jpg,,,,"Indianapolis, IN",,,977238013616017408
"Fri Mar 23 17:37:22 +0000 2018","まくろはあんすた沼に沈んでる ",_makuro_pso,"眼鏡をしてマスクすると、眼鏡がくもるのは仕方ないことです。でも、花粉で貴女の心までくもらないように。とびきりの愛を込めて、花粉ラクチン クラリチン♪ goo.gl/a7EbCA #ラクチンボイス","https://goo.gl/a7EbCA Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,88,73,88,0,0,0,Android,"goo.gl ","goo.gl/a7EbCA ","https://twitter.com/まくろはあんすた沼に沈んでる /status/977237886146785281",https://pbs.twimg.com/profile_images/966882491259744263/Gy-rT9qb_normal.jpg,,,,あんすた沼,,,977237886146785281
"Fri Mar 23 17:22:28 +0000 2018","minâ rodríguez ",sanjuniperos,"i only have one claritin left. mess.",,"Regular Tweet",en,-1,0,0,1545,76,1545,0,0,0,Web/Desktop,,,"https://twitter.com/minâ rodríguez /status/977234134224527361",https://pbs.twimg.com/profile_images/976961325355106307/t-KBU0J0_normal.jpg,,,,"sage & wezi",,,977234134224527361
"Fri Mar 23 17:17:53 +0000 2018","Channing ",crives1,"It’s Claritin DM season y’all",,"Regular Tweet",en,0,0,1,599,347,599,0,1,0.17,iPhone,,,"https://twitter.com/Channing /status/977232981436829696",https://pbs.twimg.com/profile_images/967956148895780867/pw7HvO2J_normal.jpg,,,,"Univ of Mississippi ","Mississippi, USA","United States",977232981436829696
